Job_Title,Department,Salary
STAFF ASST,DEPT OF BUILDINGS,108996
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,44292
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,93264
PROJECT MANAGER,DEPARTMENT OF AVIATION,100524
ADMINISTRATIVE ASST III,DEPT OF BUILDINGS,99360
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,101412
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,151860
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
AVIATION SURVEILLANCE SPECIALIST,DEPARTMENT OF AVIATION,50592
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SUPERVISING INVESTIGATOR,CITY CLERK,75996
LEGISLATIVE AIDE,CITY COUNCIL,97992
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,108822
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
ENGINEERING TECHNICIAN III,CHICAGO DEPT OF TRANSPORTATION,52176
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
LEAD ACCOUNTANT,DEPARTMENT OF FINANCE,118632
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,84522
SUPPORT SERVICES COORD,FAMILY AND SUPPORT SERVICES,108996
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,93264
COMMUNICATIONS OPERATOR II - 311,OFFICE OF EMERGENCY MANAGEMENT,53784
SERGEANT,DEPARTMENT OF POLICE,129666
DEPUTY FIRE COMMISSIONER,FIRE DEPARTMENT,202980
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PAYMENT SERVICES REPRESENTATIVE,DEPARTMENT OF FINANCE,82500
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
ADMINISTRATIVE SERVICES OFFICER I,PUBLIC SAFETY ADMINISTRATION,64740
DIR OF PLANNING RESEARCH AND DEVELOPMENT,DEPT OF HOUSING,129636
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER (ASSGN AS HELICOPTER PILOT),DEPARTMENT OF POLICE,114282
STREET LIGHT REPAIR WORKER,CHICAGO DEPT OF TRANSPORTATION,117624
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ANIMAL CARE AIDE I,COMM ANIMAL CARE AND CONTROL,53784
PROJECT COORD,FAMILY AND SUPPORT SERVICES,66804
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
PARAMEDIC,FIRE DEPARTMENT,62466
SERGEANT,DEPARTMENT OF POLICE,125634
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,82500
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,57636
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
DEPUTY COMMISSIONER,DEPT OF CULTURAL AFFAIRS,131148
PARAMEDIC,FIRE DEPARTMENT,88770
SERGEANT,DEPARTMENT OF POLICE,129666
CAPTAIN-EMT,FIRE DEPARTMENT,147258
SERGEANT,DEPARTMENT OF POLICE,129666
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,71436
SERGEANT,DEPARTMENT OF POLICE,129666
IT SECURITY SPECIALIST,DEPARTMENT OF AVIATION,102516
PUBLIC HEALTH ADMINISTRATOR I,DEPARTMENT OF PUBLIC HEALTH,57240
POLICE OFFICER,DEPARTMENT OF POLICE,108822
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,44292
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LEGISLATIVE AIDE,CITY COUNCIL,48252
DIR / COMMUNITY LIAISON,FIRE DEPARTMENT,97548
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
PARAMEDIC,FIRE DEPARTMENT,80448
ADMINISTRATIVE ASST III,DEPARTMENT OF PROCUREMENT SERV,86436
ASST GENERAL SUPT OF STREETS AND SANITATION,DEPT STREETS AND SANITATION,131064
PARAMEDIC,FIRE DEPARTMENT,62466
PARAMEDIC I/C,FIRE DEPARTMENT,112020
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
INFORMATION SECURITY MANAGER,DAIS,134172
ASST DEPUTY MAYOR,OFFICE OF THE MAYOR,136344
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,104934
PROJECT MANAGER,CHICAGO DEPT OF TRANSPORTATION,122616
DEPUTY COMMISSIONER,CHICAGO DEPT OF TRANSPORTATION,144216
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
AMBULANCE COMMANDER,FIRE DEPARTMENT,143076
POLICE OFFICER,DEPARTMENT OF POLICE,97974
TRAINING OFFICER,DEPARTMENT OF POLICE,81672
SENIOR DATA BASE ANALYST,DAIS,122796
SERGEANT,DEPARTMENT OF POLICE,129666
ASST CORPORATION COUNSEL II,DEPARTMENT OF LAW,101880
POLICE OFFICER,DEPARTMENT OF POLICE,79974
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
SERGEANT,DEPARTMENT OF POLICE,129666
PARAMEDIC,FIRE DEPARTMENT,96528
DIGITAL RETRIVAL SPECIALIST - CPD,DEPARTMENT OF POLICE,69984
POLICE OFFICER,DEPARTMENT OF POLICE,104934
SERGEANT,DEPARTMENT OF POLICE,125634
LIBRARIAN II,CHICAGO PUBLIC LIBRARY,81000
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
INVESTIGATOR-COPA,COPA,102996
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,108822
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
DISTRICT MANAGER - HUMAN SERVICES,FAMILY AND SUPPORT SERVICES,75996
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,74844
LIEUTENANT,DEPARTMENT OF POLICE,137316
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,104934
PARAMEDIC I/C,FIRE DEPARTMENT,101052
SENIOR ZONING PLAN EXAMINER,DEPARTMENT OF PLANNING AND DEVELOPMENT,108996
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,84522
INVESTIGATOR,PUBLIC SAFETY ADMINISTRATION,60876
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,79974
PARAMEDIC I/C,FIRE DEPARTMENT,101052
POLICE OFFICER,DEPARTMENT OF POLICE,104934
ADMINISTRATIVE SERVICES OFFICER II,FAMILY AND SUPPORT SERVICES,75624
AVIATION COMMUNICATIONS OPERATOR,DEPARTMENT OF AVIATION,86016
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ADMINISTRATIVE SERVICES OFFICER I,PUBLIC SAFETY ADMINISTRATION,82500
POLICY ANALYST,DEPT OF BUILDINGS,67368
PROPERTY CUSTODIAN - AUTO POUND,DEPT STREETS AND SANITATION,82500
ACCOUNTING TECHNICIAN,DEPARTMENT OF AVIATION,64740
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
COMMANDER,DEPARTMENT OF POLICE,175944
EXEC ADMINISTRATIVE ASST II,DEPT OF HOUSING,75996
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,38868
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
ASST DIRECTOR OF CHILDREN SERVICES,FAMILY AND SUPPORT SERVICES,93756
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,91872
SERGEANT,DEPARTMENT OF POLICE,133860
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,118632
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,108822
SERGEANT,DEPARTMENT OF POLICE,117900
POLICE OFFICER,DEPARTMENT OF POLICE,93264
ADMINISTRATIVE ASST II,CHICAGO DEPT OF TRANSPORTATION,82500
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,63504
CASE LIAISON - COPA,COPA,64740
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PUBLIC HEALTH ADMINISTRATOR II,DEPARTMENT OF PUBLIC HEALTH,103980
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,101118
PERFORMANCE ANALYST,OFFICE OF BUDGET & MANAGEMENT,72960
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
POLICE OFFICER,DEPARTMENT OF POLICE,104934
DEPUTY PROCUREMENT OFFICER,DEPARTMENT OF PROCUREMENT SERV,148296
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,140976
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
ASST SUPT OF WATER METERS,DEPT OF WATER MANAGEMENT,107748
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
SERGEANT,DEPARTMENT OF POLICE,133860
PARAMEDIC I/C,FIRE DEPARTMENT,101052
PRESS AIDE I,OFFICE OF THE MAYOR,55704
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
AMBULANCE COMMANDER,FIRE DEPARTMENT,134736
LIEUTENANT,DEPARTMENT OF POLICE,150318
PROPERTY CUSTODIAN - AUTO POUND,DEPT STREETS AND SANITATION,48996
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PROJECT MANAGER,BUS AFFAIRS AND CONSUMER PROT,81552
DEPUTY PROCUREMENT OFFICER,DEPARTMENT OF PROCUREMENT SERV,148296
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,61308
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,108822
FIELD SERVICE SPECIALIST II,CHICAGO DEPT OF TRANSPORTATION,77736
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
PARAMEDIC I/C,FIRE DEPARTMENT,101052
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT,138378
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
PROJECT MANAGER - BUILDINGS,DEPT OF BUILDINGS,146460
SENIOR LEGISLATIVE ASST,OFFICE OF THE MAYOR,90084
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIEUTENANT,DEPARTMENT OF POLICE,150318
PARAMEDIC I/C,FIRE DEPARTMENT,87408
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,104934
REPROGRAPHICS TECHNICIAN IV,CITY CLERK,94824
PARAMEDIC,FIRE DEPARTMENT,88770
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,97260
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,90108
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
PARAMEDIC,FIRE DEPARTMENT,93252
CLERK - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONER,42456
ASST COMPTROLLER,DEPARTMENT OF FINANCE,129636
POLICE OFFICER,DEPARTMENT OF POLICE,56040
LIEUTENANT,FIRE DEPARTMENT,119580
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,104934
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,40392
LIEUTENANT,DEPARTMENT OF POLICE,150318
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
WARD SUPERINTENDENT,DEPT STREETS AND SANITATION,108864
SUPERVISING INVESTIGATOR-COPA,COPA,101580
ELECTRICAL INSPECTOR,DEPT OF BUILDINGS,110160
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
PRINCIPAL DATA BASE ANALYST,DEPARTMENT OF FINANCE,150828
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,122652
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,118632
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,114282
SERGEANT,DEPARTMENT OF POLICE,121806
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
POLICE OFFICER,DEPARTMENT OF POLICE,56040
AMBULANCE COMMANDER,FIRE DEPARTMENT,138828
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,94368
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,106704
CHIEF OPERATING ENGINEER,DEPT OF WATER MANAGEMENT,134888.04
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
AVIATION COMMUNICATIONS OPERATOR,DEPARTMENT OF AVIATION,90036
CITY PLANNER V,DEPARTMENT OF PLANNING AND DEVELOPMENT,78000
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,108822
REHABILITATION CONSTRUCTION SPECIALIST,DEPT OF HOUSING,93876
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,106464
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIRE ENGINEER-EMT,FIRE DEPARTMENT,122274
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,91872
EPIDEMIOLOGIST II,DEPARTMENT OF PUBLIC HEALTH,89208
AIRPORT FACILITIES MANAGER,DEPARTMENT OF AVIATION,75996
AUTO POUND SUPVSR,DEPT STREETS AND SANITATION,112668
CIVIL ENGINEER II,CHICAGO DEPT OF TRANSPORTATION,74712
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
PROJECT COORD,DEPT OF WATER MANAGEMENT,75996
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,44712
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,101412
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
CRIMINAL INTELLIGENCE ANALYST,DEPARTMENT OF POLICE,102996
SERGEANT,DEPARTMENT OF POLICE,125634
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
PRINCIPAL OPERATIONS ANALYST,DEPARTMENT OF POLICE,97260
POLICE ADMINISTRATIVE CLERK,DEPARTMENT OF POLICE,82500
SERGEANT,DEPARTMENT OF POLICE,125634
CHIEF ASST CORPORATION COUNSEL,DEPARTMENT OF LAW,157284
LIEUTENANT,DEPARTMENT OF POLICE,145854
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,118632
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
RECOVERY TEAM PROGRAM MGR,OFFICE OF THE MAYOR,108816
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
SENIOR ADMINISTRATIVE LAW OFFICER,DEPT OF ADMINISTRATIVE HEARING,117684
PAYMENT SERVICES REPRESENTATIVE,CITY CLERK,78804
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,67284
WATER CHEMIST III,DEPT OF WATER MANAGEMENT,98496
FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE DEPARTMENT,114654
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,129666
AUDITOR II,DEPARTMENT OF FINANCE,81000
POLICE OFFICER,DEPARTMENT OF POLICE,104934
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,125634
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,51600
PROGRAM DIR,MAYORS OFFICE-DISABILITIES,85452
SENIOR DATA ENTRY OPERATOR,DEPARTMENT OF POLICE,65388
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIRE MARSHAL-EMT,FIRE DEPARTMENT,98904
PERSONNEL ASSISTANT,PUBLIC SAFETY ADMINISTRATION,82500
POLICE OFFICER,DEPARTMENT OF POLICE,97974
RECOVERY TEAM PROGRAM MGR,OFFICE OF THE MAYOR,120204
SERGEANT,DEPARTMENT OF POLICE,129666
PARAMEDIC,FIRE DEPARTMENT,99876
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,129666
EXEC ADMINISTRATIVE ASST I,DEPARTMENT OF HUMAN RESOURCES,75168
COMMUNICATIONS OPERATOR I - 311,OFFICE OF EMERGENCY MANAGEMENT,47532
ALDERMAN,CITY COUNCIL,130248
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
FIRST DEPUTY COMMISSIONER,DEPT OF BUILDINGS,169968
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CONTRACTS REVIEW SPECIALIST II,PUBLIC SAFETY ADMINISTRATION,71052
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
DEPUTY COMMISSIONER,DEPT OF HOUSING,131472
POLICE OFFICER,DEPARTMENT OF POLICE,104934
CONTRACTS COORD,CHICAGO DEPT OF TRANSPORTATION,119580
FIRE ENGINEER,FIRE DEPARTMENT,115308
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
CLERK IV - TIMEKEEPER,DEPT OF WATER MANAGEMENT,90540
COMMUNITY ORGANIZER-CAPS,DEPARTMENT OF POLICE,57240
PARAMEDIC,FIRE DEPARTMENT,62466
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
ADMINISTRATIVE ASST,OFFICE OF THE MAYOR,114648
SENIOR CLERK-ELECTIONS,BOARD OF ELECTION COMMISSIONER,58524
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,61308
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,86016
POLICE OFFICER,DEPARTMENT OF POLICE,93264
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,101412
GENERAL FOREMAN OF CARPENTERS,CHICAGO DEPT OF TRANSPORTATION,116188.8
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
WATER CHEMIST II,DEPT OF WATER MANAGEMENT,77052
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,112500
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,125634
DISABILITY SPECIALIST II,MAYORS OFFICE-DISABILITIES,99480
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
PERSONAL COMPUTER OPERATOR I,DEPARTMENT OF POLICE,65388
DETENTION AIDE,DEPARTMENT OF POLICE,71436
SERGEANT,DEPARTMENT OF POLICE,129666
FIREFIGHTER,FIRE DEPARTMENT,99876
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PROJECT COORD,DEPT OF HOUSING,66804
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
EXEC ADMINISTRATIVE ASST II,FIRE DEPARTMENT,75996
PARAMEDIC I/C,FIRE DEPARTMENT,108096
POLICE OFFICER,DEPARTMENT OF POLICE,104934
CLAIMS INVESTIGATOR,DEPARTMENT OF LAW,81552
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PROPERTY CUSTODIAN - AUTO POUND,DEPT STREETS AND SANITATION,48996
PARAMEDIC,FIRE DEPARTMENT,93252
POLICE OFFICER,DEPARTMENT OF POLICE,97974
EPIDEMIOLOGIST II,DEPARTMENT OF PUBLIC HEALTH,85044
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,55932
PARAMEDIC,FIRE DEPARTMENT,88770
CAPTAIN-EMT,FIRE DEPARTMENT,151764
POLICE OFFICER,DEPARTMENT OF POLICE,108822
DIR OF HOMELESS PREVENTION-POLICY & PLANNING,FAMILY AND SUPPORT SERVICES,114684
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
DETENTION AIDE,DEPARTMENT OF POLICE,86016
POLICE OFFICER,DEPARTMENT OF POLICE,101412
ANIMAL CONTROL INSPECTOR,COMM ANIMAL CARE AND CONTROL,78384
DIR OF PERSONNEL POLICIES AND UTILIZATION,DAIS,93756
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,88896
CERTIFICATION - COMPLIANCE OFFICER,DEPARTMENT OF PROCUREMENT SERV,108756
SERGEANT,DEPARTMENT OF POLICE,125634
FREEDOM OF INFORMATION ACT OFFICER,COPA,64740
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,129666
PARAMEDIC I/C,FIRE DEPARTMENT,101052
AMBULANCE COMMANDER,FIRE DEPARTMENT,138828
SERGEANT,DEPARTMENT OF POLICE,121806
CIVIL ENGINEER IV,CHICAGO DEPT OF TRANSPORTATION,129540
POLICE OFFICER,DEPARTMENT OF POLICE,101412
WATER CHEMIST II,DEPT OF WATER MANAGEMENT,99480
PARAMEDIC,FIRE DEPARTMENT,76122
COORDINATOR SPECIAL PROJECTS/BLDG,DEPT OF BUILDINGS,125292
AMBULANCE COMMANDER,FIRE DEPARTMENT,138828
POLICE OFFICER,DEPARTMENT OF POLICE,108822
LEGISLATIVE AIDE,CITY COUNCIL,124380
POLICE OFFICER,DEPARTMENT OF POLICE,111966
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,59352
MANAGING DEPUTY COMMISSIONER,DEPARTMENT OF AVIATION,190044
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,42312
POLICE OFFICER,DEPARTMENT OF POLICE,108822
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,82092
SERGEANT,DEPARTMENT OF POLICE,125634
PARAMEDIC,FIRE DEPARTMENT,80448
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,117324
